"Tenure_Months","Avg_Monthly_Spend","Support_Calls","CLV_Target"
65.9512290882412,495.183480940759,2,11751.3103789766
67.5323543441482,230.476934090257,4,8367.54763163485
21.3159069698304,355.953544452786,1,8597.82127266337
59.9617814507801,446.756938695908,3,10742.176094937
46.5639318414032,420.39654713124,0,11252.3021217285
37.8558123882394,372.522301003337,1,9469.16169854963
53.29777033953,330.513587556779,0,52208.6698636036
10.5613284038845,424.581568464637,0,8049.0665189201
47.64645261853,96.6278007999063,0,7292.13738833882
51.0595996666234,194.57898914814,4,7593.1522236515
33.4996661136393,152.044404260814,2,6944.45807010326
52.0569698673207,79.9013708159328,0,7193.10231233706
67.3617295478471,291.500935554504,1,9346.27272870202
19.1354465282056,343.155307024717,1,8540.13517177944
33.8227904005907,20.8175024390221,1,5413.63667383808
67.7410311156418,404.442186765373,NA,10529.4242231689
70.4540764153935,115.156575553119,0,7995.00256457141
9.34160267747939,340.037810690701,3,6211.47358986826
34.724792790832,398.112468197942,2,10516.135054265
40.7836249833927,477.047106102109,1,11665.5147474161
65.186228498118,203.685237169266,0,8629.42443498831
10.8484219084494,272.661287076771,NA,6475.05624775362
71.2113127533812,206.40997517854,2,8814.17669887223
68.213444511639,83.2292481139302,1,7038.56232238979
6.85306662507355,407.704840898514,2,7501.38001056833
37.5090366888326,349.399850256741,0,9721.58999123915
28.7044461644255,160.687284357846,NA,6925.96395316144
65.3074072946329,221.575497537851,2,47058.2199183618
32.7348435951862,372.92530592531,1,9473.46416669592
60.3563024597242,427.914197854698,1,10835.2385053734
53.3692888617516,57.1830025687814,3,5899.02743250344
58.5849150300492,156.254842206836,3,7454.36571451233
28.5556880799122,72.711194679141,3,5210.56479761672
49.6470507876948,126.530815139413,3,7453.81120103221
1.28033205447719,42.5863680243492,3,680.812051185563
60.1370416979771,49.2210311815143,1,6593.72150514627
1.5207244285848,276.142494082451,2,3753.59482956295
15.7437870705035,67.183803729713,0,4577.96377542005
65.3686999536585,220.806260220706,1,9760.11394833841
44.4362836848013,77.953472957015,1,6850.03406900676
27.9487060781103,464.15874119848,2,10679.1174184684
31.939782533329,24.6221684291959,1,5459.33911871463
3.65760333323851,252.001376226544,1,4932.90773423549
70.1213338777889,383.467759415507,1,11148.1609771393
31.6543386713602,457.804466560483,0,10849.7152315875
68.9879383617081,393.185257613659,1,11281.3423879034
64.0305982907303,487.58051328361,2,11712.1806571212
46.4384926322382,97.7987857535481,1,7339.38504064593
69.938629335491,169.63283341378,2,7617.66431055124
44.9375127204694,231.131069995463,NA,9011.88640703016
24.6733320001513,332.554127909243,3,8466.3697936085
25.6191256227903,351.487457789481,1,9065.68470712628
29.2924642111175,115.560904704034,4,6029.46269132606
56.7131870740559,403.830470666289,2,10365.7549841449
3.76449086982757,389.475128315389,3,6175.52556542468
54.1644724181388,336.487525291741,1,10532.4677197552
49.086654943414,87.2597395628691,2,7517.08223927344
13.1597674577497,340.770572982728,0,37661.4727642891
19.5372454314493,93.1203847005963,1,5618.02813324814
37.5233183607925,297.381818629801,2,8590.97499705008
48.9681164908689,314.542517587543,NA,9547.39086109014
70.7800210521091,92.3478300496936,4,7236.95443295856
54.9276429961901,277.365796305239,1,9030.40706343408
41.2206781099085,294.307725355029,0,9225.02326470562
61.3279700183775,309.718151390553,0,10558.2018450721
14.452649413608,423.851276934147,0,8660.15725563693
20.2613496440463,273.266472890973,1,7533.12990203312
59.7992524518631,137.893728092313,NA,7910.09800379534
50.2175422476139,163.292613662779,2,7783.42960688823
18.0786765147932,426.150991879404,2,9282.94542117391
4.05220451741479,235.137555785477,2,4859.19586909577
10.9740156822372,354.750112481415,3,7484.46820216387
16.3633644690271,474.752437286079,0,9965.58981332544
35.0372980583925,295.080913119018,1,8748.11123270667
15.0161343021318,256.57340310514,3,7209.14878510859
52.0742644749116,258.683888539672,4,8917.43280243945
1.55981645011343,64.9615686386824,3,1138.75518044673
27.6597874877043,480.175008177757,2,11067.320312147
37.5229472899809,115.6055489555,NA,6592.85006012444
1.11150934942998,275.766408927739,2,17496.5092412045
42.2938841781579,84.9301183223724,0,6727.28711015142
